corrects model1
1.0 0.586729109287262
0.8888888359069824 0.5613815188407898
0.5 0.48788201808929443
0.5 0.4721428453922272
0.8999999761581421 0.5380570888519287
1.0 0.5473411679267883
0.4285714328289032 0.4621203541755676
0.0 0.40056756138801575
0.5 0.4644838571548462
1.0 0.6002159714698792
0.375 0.4263368546962738
0.0 0.4644986391067505
0.0 0.47670233249664307
1.0 0.5685127377510071
1.0 0.5880614519119263
0.8888888359069824 0.5291305780410767
0.8999999761581421 0.5319844484329224
1.0 0.6133191585540771
1.0 0.5944841504096985
1.0 0.5865293145179749
0.4285714328289032 0.48012471199035645
0.8999999761581421 0.5276198387145996
1.0 0.5816125273704529
0.0 0.4339793920516968
1.0 0.5900813937187195
1.0 0.5428916215896606
0.8888888359069824 0.541706383228302
0.699999988079071 0.5227320790290833
0.8571428656578064 0.5365349650382996
0.0 0.46923208236694336
1.0 0.57896888256073
1.0 0.5748409032821655
1.0 0.5390987992286682
0.0 0.40050116181373596
0.8571428656578064 0.5812242031097412
0.7142857313156128 0.5275238156318665
1.0 0.584604799747467
0.8571428656578064 0.5670890212059021
0.7142857313156128 0.5684211850166321
0.7142857313156128 0.542556643486023
1.0 0.5555808544158936
0.800000011920929 0.5401645302772522
0.7777777910232544 0.5334552526473999
1.0 0.544063925743103
1.0 0.5754528045654297
0.7777777910232544 0.5287540555000305
0.75 0.5099194645881653
0.0 0.490945041179657
0.75 0.5084415078163147
0.800000011920929 0.5507508516311646
0.6666666269302368 0.5123424530029297
0.6666666269302368 0.47178375720977783
0.8571428656578064 0.5464233160018921
1.0 0.535446047782898
0.875 0.5628014206886292
1.0 0.5780889987945557
0.875 0.6070147752761841
0.0 0.4646523594856262
0.375 0.440480500459671
0.5714285373687744 0.528706431388855
0.5714285373687744 0.4930301010608673
1.0 0.5785754323005676
1.0 0.5901234149932861
0.875 0.5356488823890686
0.0 0.5082820057868958
1.0 0.592578649520874
0.875 0.533038318157196
0.5714285373687744 0.5273352265357971
0.8571428656578064 0.5508635640144348
0.625 0.507673978805542
0.8571428656578064 0.5879108309745789
1.0 0.575028121471405
0.625 0.4835541546344757
1.0 0.5380316972732544
1.0 0.5868160724639893
0.0 0.43837279081344604
0.8888888359069824 0.5171233415603638
1.0 0.600770115852356
1.0 0.552899181842804
1.0 0.5650554895401001
0.0 0.452607125043869
0.25 0.4774799346923828
0.25 0.45281240344047546
1.0 0.5732589960098267
0.0 0.4561692476272583
1.0 0.586241602897644
1.0 0.6063079237937927
1.0 0.5706653594970703
1.0 0.5559163093566895
1.0 0.6043228507041931
0.125 0.482674777507782
0.0 0.48880675435066223
0.125 0.4561779797077179
0.0 0.46663039922714233
1.0 0.5520498156547546
1.0 0.5956920385360718
1.0 0.5550088286399841
0.1428571343421936 0.44422414898872375
1.0 0.5601511597633362
0.0 0.4070678651332855
0.0 0.48123154044151306
1.0 0.5647748708724976
1.0 0.6051751971244812
1.0 0.5843257904052734
1.0 0.580785870552063
1.0 0.5541013479232788
0.1428571343421936 0.43667274713516235
1.0 0.5582074522972107
1.0 0.5233750939369202
0.2222222089767456 0.4517841339111328
1.0 0.5736511945724487
0.0 0.42048102617263794
0.2222222089767456 0.48842522501945496
1.0 0.589035153388977
1.0 0.5233335494995117
1.0 0.552399754524231
1.0 0.5642663240432739
0.1111111044883728 0.40298032760620117
1.0 0.5515403151512146
1.0 0.5882298946380615
0.2857142686843872 0.48497360944747925
0.2857142686843872 0.4706569314002991
1.0 0.5788615345954895
0.3333333134651184 0.453004390001297
1.0 0.5590910911560059
1.0 0.542808473110199
1.0 0.5931309461593628
1.0 0.5771207213401794
